Field Name,New Field Name,Alias,Description,Unit
ARC Letter,arc_let,ARC Letter,Aerodrome reference code letter,code
ARC Number,arc_num,ARC Number,Aerodrome reference code number,count
ASDA,asda,ASDA,Accelerate-stop distance available,metres
Approach Type,appr_type,Approach Type,Runway approach type,-
Buffer_m,buffer_m,Buffer (m),-,metres
Contour_Elev_AMSL,contour_elev_am,Contour Elevation AMSL,Contour elevation above mean sea level,metres
Contour_Hgt_Abv_IHS,contour_hgt_abv,Contour Height Above IHS,-,metres
Desc,desc,Description,-,text
Description,desc,Description,-,text
Diverg_Perc,diverg_perc,Divergence (%),-,percent
Easting,coord_east,Easting,-,metres
Elevation,elev_m,Elevation,-,metres
End_Desig,end_desig,Runway End,-,-
FacType,factype,Facility Type,-,-
Guideline,guideline,Guideline,-,-
HeightRule,heightrule,Height Rule,-,-
Height_AGL,height_agl,Height AGL,-,metres
Height_Extent,height_extent,Height Extent,-,metres
ICAO,icao_code,ICAO Code,-,-
Inner Width,inner_width,Inner Width,-,metres
Inner extent,inner_extent,Inner Extent,-,metres
InnerKm,innerkm,Inner Distance (km),-,kilometres
InnerRad_m,innerrad_m,Inner Radius (m),-,metres
InnerW_m,innerw_m,Inner Width (m),-,metres
LDA,lda,LDA,Landing distance available,metres
Length,len_m,Length (m),-,metres
Length (m),len_m,Length (m),-,metres
Length_m,len_m,Length (m),-,metres
MOS Ref,ref_mos,MOS Reference,-,-
MOS_Reference,ref_mos,MOS Reference,-,-
Max intensity,max_intensity,Maximum Intensity,-,-
NASF Ref,ref_nasf,NASF Reference,-,-
Name,name,Name,-,text
Northing,coord_north,Northing,-,metres
Offset (m),offset_m,Offset (m),-,metres
Origin_Offset,origin_offset,Origin Offset,-,metres
Outer Width,outer_width,Outer Width,-,metres
Outer extent,outer_extent,Outer Extent,-,metres
OuterKm,outerkm,Outer Distance (km),-,kilometres
OuterRad_m,outerrad_m,Outer Radius (m),-,metres
OuterW_m,outerw_m,Outer Width (m),-,metres
RWY_Name,rwy_name,Runway Name,-,text
Radius_m,radius_m,Radius (m),-,metres
Reciprocal Heading,reciprocal_head,Reciprocal Heading,-,degrees
Ref,ref_mos,MOS Reference,-,-
ReqHeight,reqheight,Required Height,-,metres
Runway,rwy,Runway,-,-
Runway End,end_desig,Runway End,-,-
Runway Heading,rwy_head,Runway Heading,-,degrees
Runway_End,end_desig,Runway End,-,-
Section_Desc,section_desc,Section Description,-,text
Shape,shape,Shape,-,-
Shape_Desc,shape_desc,Shape Description,-,text
Side,side,Side,-,-
Side_m,side_m,Side Distance (m),-,metres
Slope_Perc,slope_perc,Slope (%),-,percent
SourceFacID,sourcefacid,Source Facility ID,-,-
SurfName,surfname,Surface Name,-,text
Surface,surface,Surface,-,-
TODA,toda,TODA,Take-off distance available,metres
TORA,tora,TORA,Take-off run available,metres
Type,type,Type,-,-
Width,wid_m,Width (m),-,metres
Width (m),wid_m,Width (m),-,metres
Width_m,wid_m,Width (m),-,metres
Zone,zone,Zone,-,-
Zone_Type,zone,Zone Type,-,-
